region,population_norm,cost_of_living_all,cost_of_living_work,cost_of_living_retired,cost_of_living_child,disabled_total,disabled_60_,disabled_work,morbidity,poverty_socdem_16,poverty_socdem_retired,poverty_socdem_work,poverty_percent,welfare,per_capita,formal_wage,housing_Нет_стесненности,housing_Жилая_площадь,housing_Комнат,gross_regional_product,crim_alco_nark_tox,crim_group,retail,regional_production,child_count,retired_count,lat,lon,child_mortality_newborn,drug_alco
Приморский край,1877844,14025,14872,11287,15366,5.618,11.554,4.491,72917.4,6.448,0.546,6.006,13.0,23.5,37304,37304,79.0,15.7,2.2,582950.7,5016,843,230378,686661705.38,376589,539000,43.1198,131.8869,17965.0,99.6
Псковская область,620249,11441,12425,9438,11208,7.421,13.598,6.0,70723.5,4.795,1.507,9.882,16.2,24.7,26436,26436,79.2,15.0,2.1,325659.6,1777,985,200916,285448003.4,116492,208000,57.8136,28.3496,4975.0,90.5
Республика Адыгея,463167,9876,10520,8090,10081,6.947,14.348,5.944,66252.3,5.575,0.675,6.262,12.5,20.2,30293,30293,67.2,19.6,3.1,309184.1,625,231,231447,122026289.0,101385,127000,44.6098,40.1006,4404.0,57.6
Республика Алтай,220954,10697,11138,8680,10729,9.311,20.811,8.516,89433.5,10.591,0.69,12.519,23.8,19.8,21677,21677,86.5,14.4,2.4,283451.4,1531,134,135351,17423328.6,67460,61000,51.9581,85.9603,2933.0,80.3
Республика Башкортостан,4013786,9834,10477,8027,9781,5.976,12.801,4.579,84448.9,4.652,0.522,6.426,11.6,22.4,30249,30249,77.4,17.4,2.4,425161.0,11491,1496,226691,3088668108.22,912337,1190000,54.7388,55.9721,40942.0,62.8
Республика Бурятия,985431,12333,12803,9712,12967,7.467,15.552,7.143,61456.1,8.298,0.736,10.865,19.9,25.5,26092,26092,77.3,17.2,2.4,307558.8,5019,628,199747,352686208.04,266047,264000,51.8405,107.5414,12551.0,52.3
Республика Дагестан,3133303,10465,10775,8282,10600,9.81,12.991,13.947,80693.8,5.668,0.74,8.392,14.8,28.3,27661,27661,73.8,22.5,3.6,239640.7,774,801,188325,135184335.6,883036,677000,42.9831,47.5046,46189.0,22.7
Республика Ингушетия,515564,10353,10580,8129,10872,11.471,13.571,17.905,60547.7,11.43,3.18,15.39,30.0,32.5,16877,16877,94.4,27.8,4.9,142199.7,125,91,50713,8555010.8,158150,112000,43.1669,44.8058,8416.0,2.9000000000000004
Республика Калмыкия,269984,10443,10914,8365,10618,7.763,13.668,8.116,71872.7,7.673,0.068,14.959,22.7,24.3,19811,19811,79.3,20.2,3.1,344933.1,689,90,86002,11338618.9,65106,78000,46.3078,44.2558,2764.0,58.800000000000004
Республика Карелия,609071,14196,15438,11865,13444,9.596,17.534,6.908,112365.5,5.889,0.453,8.773,15.1,24.2,32583,32583,78.4,17.1,2.4,522245.3,2503,599,226569,490804007.26,125980,236000,61.7849,34.3469,5176.0,83.19999999999999
Республика Коми,813590,14567,15715,11884,14701,7.388,12.09,7.329,111709.0,6.135,1.01,8.155,15.3,22.7,36677,36677,80.5,15.5,2.3,749219.3,4188,670,201675,1090433269.26,184443,294000,61.6688,50.8365,7558.0,118.2
Республика Крым,1901578,11074,11846,9092,11643,6.472,11.327,6.114,52086.6,8.29,0.292,8.617,17.2,15.5,22950,22950,84.2,19.0,2.6,270363.8,2777,971,148071,342687807.96000004,384736,582000,44.9521,34.1024,18766.0,72.2
Республика Марий Эл,675332,9846,10568,8083,10098,8.878,18.492,6.586,93490.3,6.396,1.131,11.992,19.5,22.4,21264,21264,81.0,16.5,2.4,290803.3,1589,293,134692,324916954.34,148171,212000,56.6316,47.8861,6611.0,76.60000000000001
Республика Мордовия,778965,9378,10079,7693,9796,8.466,16.569,6.042,65931.9,4.717,2.13,10.771,17.6,22.5,20631,20631,86.3,20.0,2.7,342811.2,1946,669,127327,504798564.2,133432,256000,54.1838,45.1838,5541.0,66.0
Республика Саха,981971,17824,18853,14277,18652,5.343,9.054,6.218,104555.1,7.647,0.882,8.771,17.3,16.8,46338,46338,82.1,16.5,2.2,1168152.5,4120,485,250679,1874401695.76,264141,276000,62.0308,129.7326,12890.0,132.1
Республика Северная Осетия-Алания,693098,9854,10433,7963,10080,8.149,16.633,6.963,72233.0,4.837,0.945,8.118,13.9,25.0,23927,23927,68.8,16.4,3.1,267814.4,496,257,163468,71462280.0,163825,203000,43.0367,44.6678,8124.0,55.699999999999996
Республика Татарстан,3894120,9600,10231,7817,9625,7.058,14.808,5.516,79394.9,2.772,0.482,3.346,6.6,13.7,35635,35635,79.2,16.2,2.5,675621.4,8669,1929,238322,5420115324.02,843709,1147000,55.7887,49.1221,41428.0,58.2
Республика Тыва,330368,10674,11594,8842,11858,6.271,8.227,11.093,60756.5,14.265,0.824,16.611,31.7,23.8,18972,18972,72.5,13.6,2.8,251799.9,2086,183,76921,46583667.94,122150,83000,51.7147,94.4534,6546.0,101.60000000000001
Республика Хакасия,532036,11795,12428,9421,12511,4.999,9.686,4.671,86026.5,7.992,0.444,10.045,18.5,24.1,23837,23837,71.2,17.9,2.6,500422.8,2701,303,175577,474076549.4,129013,155000,53.7223,91.4431,5339.0,97.0
Ростовская область,4181486,10787,11493,8734,11223,8.212,14.347,7.542,81083.3,5.707,0.208,7.085,13.0,27.8,31427,31427,83.6,18.2,2.8,403949.1,5835,2559,232860,2162698506.3,794498,1292000,47.2357,39.7015,36285.0,40.2
Рязанская область,1098257,10785,11643,8913,10899,11.416,22.841,7.34,70384.8,4.736,0.422,7.642,12.8,22.0,27312,27312,90.7,19.0,2.4,412845.1,1731,507,196393,784292789.8,196815,382000,54.6269,39.7339,8655.0,68.3
Самарская область,3154164,10962,12151,8749,10827,6.46,12.698,5.075,97537.6,4.539,1.168,6.593,12.3,23.4,29893,29893,79.6,16.9,2.4,505093.4,5763,2963,213032,3095305746.46,615832,983000,53.1959,50.1002,27853.0,61.5
